0,0,42.944664,10.837738,0,0
29,23,42.94469,10.835267,0.20297,0
42,38,42.94382,10.835544,0.32591,0
58,55,42.942508,10.83621,0.48147,0
69,68,42.941379,10.836792,0.61572,0
106,96,42.9388,10.838074,0.9214,0
138,120,42.936119,10.839422,1.23936,0
193,152,42.932529,10.84122,1.66501,0
243,185,42.92908,10.842934,2.07321,0
316,232,42.924331,10.845306,2.63632,0
379,274,42.920398,10.847268,3.10205,0
482,336,42.915447,10.849171,3.68824,0
527,375,42.913284,10.845811,4.06869,0
573,409,42.91106,10.842842,4.41956,0
588,423,42.910362,10.841075,4.58651,0
645,471,42.912757,10.832888,5.30878,0
658,482,42.912609,10.830934,5.46913,0
714,522,42.911476,10.823903,6.05712,0
737,538,42.910129,10.82178,6.29101,0
800,584,42.905685,10.81606,6.97203,0
842,611,42.903217,10.812367,7.37951,0
1088,781,42.88969,10.791165,9.68714,0
1102,790,42.889331,10.791625,9.74347,0
1169,821,42.887481,10.792656,9.98153,0
1207,837,42.886314,10.791881,10.1264,0
1286,879,42.883628,10.790566,10.447,0
1356,936,42.879707,10.794086,10.9916,0
1416,974,42.874763,10.798077,11.6315,0
1442,998,42.871711,10.798008,11.9771,0
1483,1023,42.86745,10.797541,12.4552,0
1528,1051,42.864013,10.799984,12.8875,0
1573,1088,42.860389,10.802764,13.35,0
1663,1143,42.853015,10.808414,14.2914,0
1690,1164,42.850616,10.810259,14.598,0
1829,1245,42.84119,10.816449,15.7688,0
1946,1316,42.8344,10.818621,16.5495,0
2221,1449,42.824279,10.825098,17.7957,0
2361,1529,42.818103,10.822662,18.5345,0
2448,1603,42.806922,10.825807,19.8208,0
2491,1684,42.80241,10.826708,20.3282,0
2650,1751,42.786895,10.829787,22.0734,0
2733,1806,42.780788,10.833244,22.8355,0
2757,1822,42.779041,10.834903,23.0731,0
2812,1861,42.7761,10.838877,23.5438,0
2876,1910,42.77346,10.845273,24.1434,0
2999,2003,42.768558,10.857593,25.289,0
3037,2030,42.767284,10.861392,25.6307,0
3097,2077,42.765644,10.867789,26.1845,0
3208,2167,42.762046,10.879293,27.2107,0
3253,2208,42.763679,10.883964,27.6451,0
