0,0,40.853450876,-73.265331415,0,0
31,37,40.85489885,-73.265609778,0.163057,0
53,59,40.856230063,-73.265954023,0.313931,0
65,73,40.856988039,-73.266137419,0.399628,0
72,77,40.857442003,-73.266111854,0.453864,0
105,110,40.857415432,-73.263181457,0.70177,0
138,144,40.857558427,-73.260068586,0.964177,0
159,164,40.857546022,-73.257771693,1.15837,0
175,182,40.858384129,-73.255685857,1.3589,0
185,192,40.858153459,-73.254154986,1.49115,0
209,216,40.858082967,-73.250951003,1.76119,0
221,226,40.858400138,-73.2497855,1.8658,0
243,249,40.85854481,-73.247280316,2.0773,0
253,259,40.858783862,-73.246161835,2.17522,0
287,293,40.860060342,-73.243132532,2.48202,0
317,324,40.860872129,-73.245019969,2.66573,0
369,376,40.863138009,-73.247394394,2.99936,0
414,421,40.86545812,-73.248050865,3.26898,0
436,444,40.866260268,-73.248240212,3.35993,0
491,498,40.868238816,-73.252062444,3.74984,0
569,574,40.868606865,-73.257777561,4.24466,0
588,592,40.868877517,-73.258654391,4.32446,0
