0,0,48.152709989,-1.6797999487,0,0
6,14,48.153139981,-1.678709966,0.09452,0
13,27,48.153414069,-1.6785639532,0.19809,0
26,40,48.154959105,-1.6787731655,0.37709,0
35,53,48.156074975,-1.6784971043,0.503159,0
46,63,48.15749111,-1.6784244784,0.66073,0
61,78,48.15913807,-1.677185214,0.87204,0
73,100,48.160597142,-1.6768977315,1.04141,0
95,119,48.163220309,-1.6753023032,1.35994,0
135,152,48.162886586,-1.6677769806,1.92287,0
169,180,48.162471054,-1.6612149955,2.41321,0
233,228,48.16009499,-1.64985495,3.3085,0
243,235,48.159552218,-1.6481141219,3.45138,0
286,266,48.157259958,-1.6406599393,4.06184,0
300,278,48.156726625,-1.6380532932,4.26479,0
315,288,48.156232878,-1.6353032955,4.47663,0
327,298,48.155825995,-1.6330904815,4.64737,0
357,322,48.154839981,-1.6276859518,5.06442,0
379,347,48.155230008,-1.62441996,5.37827,0
392,360,48.156789964,-1.6247099739,5.56751,0
426,388,48.161119971,-1.6253099505,6.05104,0
456,416,48.164780013,-1.6246299267,6.4645,0
482,447,48.167934953,-1.6229609305,6.83673,0
501,466,48.170324978,-1.6220599514,7.11181,0
514,477,48.171879988,-1.6222899508,7.28573,0
535,496,48.174559962,-1.6229699746,7.58826,0
544,504,48.175738351,-1.6227960501,7.72012,0
562,520,48.178036991,-1.6223659495,7.97771,0
571,527,48.179090018,-1.622149973,8.09589,0
608,563,48.181955694,-1.61642566,8.63015,0
631,581,48.18359001,-1.6128899816,8.95027,0
648,596,48.185130017,-1.6105599802,9.19387,0
664,610,48.186776656,-1.6087261804,9.42248,0
686,628,48.18903502,-1.606354947,9.72931,0
697,637,48.190277775,-1.6052333149,9.89088,0
720,657,48.192819994,-1.6031799659,10.2121,0
730,666,48.193904989,-1.6022899754,10.3498,0
760,692,48.197239939,-1.5995799385,10.7718,0
781,710,48.199659962,-1.5976799287,11.0757,0
798,725,48.201640019,-1.5961599544,11.3232,0
826,749,48.204791984,-1.594027967,11.7079,0
852,770,48.207998579,-1.5923971384,12.0848,0
870,788,48.21021,-1.5914842773,12.3399,0
881,799,48.211549943,-1.5908499349,12.4965,0
896,813,48.213099997,-1.5891685012,12.7099,0
905,822,48.213799981,-1.5879299313,12.831,0
917,834,48.214915005,-1.586368697,13.0017,0
926,843,48.215439985,-1.5848699499,13.1296,0
945,867,48.21684996,-1.581944973,13.4048,0
959,886,48.218519999,-1.5812399991,13.6018,0
972,905,48.218244989,-1.5788999393,13.7827,0
993,930,48.219282459,-1.575462437,14.076,0
1003,939,48.219059944,-1.5735699542,14.2193,0
1033,967,48.218860723,-1.5678149802,14.6516,0
1064,995,48.217239982,-1.5627979681,15.0864,0
1096,1024,48.214946654,-1.5578732926,15.5352,0
1122,1046,48.211669972,-1.5574299458,15.9035,0
1142,1064,48.210443281,-1.5541466426,16.1889,0
1192,1107,48.207655762,-1.5452683623,16.918,0
1246,1154,48.204734741,-1.5361525596,17.6694,0
1289,1182,48.202330948,-1.5288734639,18.2729,0
1298,1203,48.201799946,-1.5273299448,18.4019,0
1317,1223,48.20360334,-1.5250466026,18.6699,0
1344,1254,48.205799958,-1.5211700003,19.0547,0
1364,1281,48.207689993,-1.5187899589,19.3353,0
1378,1300,48.208889946,-1.5168799746,19.5318,0
1392,1329,48.210281643,-1.5150982824,19.7363,0
1404,1342,48.211366011,-1.5135099466,19.905,0
1421,1361,48.212950412,-1.5111639526,20.1529,0
1431,1371,48.213660004,-1.5098199814,20.281,0
1450,1424,48.214112543,-1.5062159307,20.5537,0
1464,1462,48.214949476,-1.5039253242,20.7494,0
1478,1482,48.215791606,-1.5015917185,20.9516,0
1498,1508,48.217358016,-1.4985609062,21.2406,0
1529,1547,48.219591374,-1.4965152189,21.6768,0
1546,1574,48.221048819,-1.4985018976,21.921,0
1563,1598,48.222746573,-1.5000816768,22.1581,0
1585,1625,48.225039778,-1.502369643,22.474,0
1609,1646,48.227409519,-1.5052138309,22.8195,0
1620,1655,48.228516089,-1.5064196948,22.9717,0
1640,1671,48.230726229,-1.5083080537,23.2567,0
1652,1682,48.232163203,-1.5091789532,23.4291,0
1660,1689,48.233121185,-1.5097595528,23.544,0
1667,1695,48.23395942,-1.5102675775,23.6445,0
1675,1701,48.234797655,-1.5107756022,23.7451,0
1697,1719,48.237479948,-1.511135102,24.0519,0
1720,1736,48.240274809,-1.5098153714,24.378,0
1745,1758,48.243461358,-1.5101479653,24.737,0
1771,1779,48.246765755,-1.511006356,25.11,0
1785,1791,48.248509191,-1.5114408738,25.3065,0
1800,1803,48.250378154,-1.5116178996,25.5148,0
1816,1817,48.252432355,-1.5114498145,25.7442,0
1834,1842,48.254576432,-1.5125995043,26.0021,0
1846,1859,48.255209349,-1.5146809823,26.1735,0
1854,1868,48.255874537,-1.5156358488,26.276,0
1860,1880,48.256030021,-1.5168695811,26.3693,0
1877,1902,48.258059951,-1.515909937,26.606,0
1894,1925,48.256009989,-1.5169949744,26.85,0
1901,1939,48.255584236,-1.5181084982,26.9508,0
1924,1953,48.255255202,-1.5224537966,27.2755,0
1957,1981,48.255236316,-1.5286190434,27.7382,0
1966,1988,48.255483991,-1.5303339518,27.8688,0
1983,2002,48.25549995,-1.5335456289,28.1073,0
2002,2017,48.25549995,-1.5371979426,28.3785,0
2020,2033,48.255545806,-1.5405933147,28.6307,0
2034,2044,48.255610004,-1.543229996,28.8266,0
