0,0,46.465245125,11.781799156,0,0
21,20,46.46631427,11.780955568,0.13536,0
56,45,46.467915515,11.779303708,0.35505,0
85,67,46.469453441,11.778650424,0.540292,0
101,79,46.470321373,11.778643411,0.63691,0
145,115,46.472469711,11.777131059,0.908994,0
167,136,46.473707982,11.777036612,1.04757,0
218,184,46.476079112,11.775014718,1.36837,0
243,206,46.475254689,11.776434738,1.52404,0
281,245,46.473840012,11.778451508,1.76178,0
365,328,46.478174064,11.776749458,2.28898,0
384,349,46.477266283,11.77723609,2.40767,0
409,376,46.478487107,11.777748853,2.56393,0
433,402,46.477215153,11.777936524,2.71211,0
470,441,46.479193827,11.778599993,2.94516,0
499,470,46.477692419,11.77879592,3.12809,0
546,521,46.479842796,11.780560059,3.4218,0
582,554,46.481411972,11.78030525,3.64641,0
675,623,46.486324486,11.782655811,4.22852,0
709,670,46.488124997,11.782460907,4.44012,0
734,695,46.487111247,11.783553488,4.59609,0
785,750,46.489912228,11.783534545,4.91871,0
811,780,46.490340543,11.781561613,5.07974,0
843,809,46.491861384,11.782542128,5.28025,0
889,852,46.492523442,11.784543056,5.5696,0
